(41667, 0)
(40097, 0)
(44058, 1)
(42349, 2)
(49931, 2)
(41391, 0)
(40263, 0)
(46187, 2)
(49892, 0)
(44463, 0)
(40145, 94)
(41952, 25)
(46529, 0)
(40599, 0)
(41632, 0)
(45800, 2)
(41393, 0)
(43379, 0)
(48954, 0)
(45857, 0)
(45112, 0)
(48534, 0)
(46813, 0)
(41234, 0)
(45163, 0)
(46633, 32)
(48265, 0)
(44419, 0)
(49794, 0)
(43681, 2)
(48146, 0)
(41441, 0)
(41283, 0)
(42472, 0)
(42917, 0)
(41552, 0)
(44201, 0)
(44953, 0)
(48245, 2)
(43450, 0)
(49508, 0)
(40693, 0)
(49569, 0)
(47977, 0)
(48390, 0)
(44685, 0)
(49401, 0)
(40336, 0)
(46376, 148)
(42296, 0)
(46904, 1)
(41520, 0)
(43958, 2)
(43301, 0)
(42166, 2)
(42867, 0)
(43731, 0)
(43194, 0)
(41929, 0)
(49820, 0)
(43128, 1)
(48551, 0)
(40928, 0)
(43632, 0)
(46915, 0)
(43560, 0)
(44996, 148)
(46670, 2)
(48397, 2)
(41506, 0)
(40285, 1)
(42744, 0)
(49496, 2)
(47290, 0)
(45465, 0)
(44729, 2)
(48222, 0)
(42954, 0)
(43313, 0)
(47062, 0)
(41230, 0)
(41091, 0)
(41434, 0)
(45747, 91)
(46868, 1)
(42694, 0)
(46266, 0)
(47059, 0)
(48725, 0)
(40936, 0)
(45782, 0)
(44789, 0)
(42308, 2)
(41485, 0)
(44209, 1)
(43151, 2)
(41524, 0)
(40878, 0)
(40690, 0)
(45241, 2)
(49799, 0)
(48849, 0)
(42502, 0)
(48658, 2)
(45279, 0)
(42683, 0)
(43573, 2)
(44011, 1)
(43749, 0)
(49507, 0)
(47396, 0)
(43727, 0)
(45075, 0)
(42537, 2)
(45041, 0)
(42246, 2)
(44670, 0)
(46811, 0)
(44075, 0)
(41125, 0)
(44783, 2)
(47133, 0)
(45596, 0)
(44320, 0)
(46592, 1)
(43318, 0)
(45102, 0)
(47004, 1)
(46613, 2)
(40313, 0)
(40338, 1)
(47199, 2)
(48036, 0)
(47350, 2)
(45954, 2)
(43168, 2)
(43605, 0)
(42047, 0)
(42079, 0)
(40337, 0)
(44757, 20)
(44608, 0)
(41824, 0)
(49659, 2)
(42209, 2)
(49754, 0)
(43581, 0)
(40920, 0)
(41288, 0)
(46979, 1)
(49189, 0)
(49640, 0)
(46088, 0)
(48081, 0)
(42342, 2)
(43615, 0)
(49465, 0)
(44369, 1)
(45101, 0)
(47054, 0)
(44304, 0)
(44216, 0)
(40866, 0)
(44038, 0)
(43186, 0)
(44590, 0)
(46340, 0)
(47954, 0)
(43492, 0)
(44200, 0)
(47606, 2)
(46753, 0)
(49362, 2)
(40275, 0)
(48063, 0)
(47624, 0)
(45852, 6)
(43757, 0)
(45493, 0)
(46625, 0)
(48591, 0)
(47355, 1)
(44703, 0)
(40031, 0)
(49054, 0)
(41801, 0)
(40842, 1)
(48135, 1)
(48730, 0)
(48042, 0)
(42770, 0)
(47359, 0)
(45342, 1)
(43154, 0)
(43338, 1)
(41641, 0)
(44084, 2)
(47259, 0)
(46370, 119)
(49317, 0)
(49085, 0)
(47101, 2)
(42484, 0)
(45322, 0)
(47393, 2)
(45026, 0)
(47167, 2)
(46796, 0)
(40645, 2)
(41718, 1)
(45310, 0)
(40768, 71)
(45444, 0)
(44833, 0)
(46186, 2)
(44913, 0)
(44812, 0)
(41794, 0)
(47170, 0)
(41320, 0)
(43643, 0)
(44752, 0)
(45204, 0)
(45838, 0)
(41590, 0)
(42925, 0)
(43774, 0)
(46839, 0)
(47139, 0)
(48183, 1)
(48291, 0)
(40228, 1)
(42404, 0)
(46165, 0)
(45195, 2)
(41412, 2)
