4	01.06.2021	М01	5	Поставка	50	39
64	01.06.2021	М02	55	Поставка	50	44
116	01.06.2021	М04	55	Поставка	40	48
188	01.06.2021	М06	50	Поставка	100	68
207	01.06.2021	М07	55	Поставка	50	44
239	01.06.2021	М08	55	Продажа	392	66  
245	01.06.2021	М09	5	Продажа	31	41
270	01.06.2021	М09	50	Поставка	10	92
271	01.06.2021	М09	50	Продажа	6	119
306	01.06.2021	М10	55	Поставка	40	50
333	01.06.2021	М11	55	Поставка	400	48
363	01.06.2021	М12	55	Продажа	388	62
368	01.06.2021	М13	5	Поставка	50	42
391	01.06.2021	М13	55	Продажа	39	40
399	01.06.2021	М14	5	Продажа	31	36
423	01.06.2021	М14	50	Поставка	10	80
424	01.06.2021	М14	50	Продажа	6	108
425	01.06.2021	М14	55	Продажа	22	40
431	01.06.2021	М15	5	Поставка	20	41
453	01.06.2021	М15	50	Поставка	10	74
474	01.06.2021	М16	50	Продажа	45	101
475	01.06.2021	М16	55	Продажа	187	59
504	01.06.2021	М17	50	Продажа	36	127
505	01.06.2021	М17	55	Продажа	158	40
525	01.06.2021	М18	50	Продажа	39	79
550	01.06.2021	М19	50	Продажа	12	112
606	01.06.2021	М21	50	Поставка	10	88
616	01.06.2021	М22	5	Продажа	54	46
636	01.06.2021	М22	50	Поставка	10	71
638	01.06.2021	М22	55	Поставка	40	49
668	01.06.2021	М23	55	Продажа	23	60
676	01.06.2021	М24	5	Поставка	200	36
700	01.06.2021	М24	55	Продажа	184	40
706	01.06.2021	М25	5	Продажа	51	48
751	01.06.2021	М26	50	Поставка	10	76
752	01.06.2021	М26	50	Продажа	9	124
757	01.06.2021	М26	55	Поставка	50	43
758	01.06.2021	М26	55	Продажа	37	50
763	01.06.2021	М27	5	Поставка	100	43
787	01.06.2021	М27	50	Поставка	20	71
789	01.06.2021	М27	55	Продажа	90	59
795	01.06.2021	М28	5	Продажа	478	49
814	01.06.2021	М28	50	Продажа	82	97
842	01.06.2021	М29	50	Продажа	6	124
852	01.06.2021	М30	5	Поставка	30	33
878	01.06.2021	М30	50	Поставка	10	68
910	01.06.2021	М31	55	Поставка	20	37
914	01.06.2021	М32	5	Поставка	50	33
940	01.06.2021	М32	50	Поставка	10	86
951	01.06.2021	М33	5	Продажа	88	54
994	01.06.2021	М34	50	Продажа	38	117
1003	01.06.2021	М35	5	Поставка	400	30
1061	01.06.2021	М37	5	Поставка	100	31
1081	01.06.2021	М37	55	Поставка	100	44
1111	01.06.2021	М38	55	Продажа	42	50
1116	01.06.2021	М39	5	Продажа	113	51
1136	01.06.2021	М39	50	Продажа	23	127
1177	01.06.2021	М41	5	Продажа	456	48
1199	01.06.2021	М41	50	Продажа	82	111
1202	01.06.2021	М41	55	Поставка	300	42
1207	01.06.2021	М42	5	Поставка	400	38
1208	01.06.2021	М42	5	Продажа	413	51
1225	01.06.2021	М42	50	Поставка	100	92
1226	01.06.2021	М42	50	Продажа	81	125
1255	01.06.2021	М43	50	Поставка	10	99
1264	01.06.2021	М44	5	Продажа	45	38
1311	01.06.2021	М45	50	Продажа	20	105
1316	01.06.2021	М45	55	Поставка	100	45
1317	01.06.2021	М45	55	Продажа	104	63
1356	01.06.2021	М47	5	Поставка	50	30
1383	01.06.2021	М47	50	Продажа	11	77
1385	01.06.2021	М47	55	Поставка	40	46
1413	01.06.2021	М48	50	Продажа	46	119
1420	01.06.2021	М49	5	Поставка	500	34
1463	01.06.2021	М50	50	Поставка	10	83
1466	01.06.2021	М50	55	Поставка	50	45
1529	01.06.2021	М52	50	Поставка	10	85
1530	01.06.2021	М52	50	Продажа	6	92
1562	01.06.2021	М53	55	Поставка	200	53
1563	01.06.2021	М53	55	Продажа	203	63
1569	01.06.2021	М54	5	Продажа	89	44
1594	01.06.2021	М54	55	Продажа	74	56
1601	01.06.2021	М55	5	Продажа	193	35
1621	01.06.2021	М55	50	Поставка	50	94
1651	01.06.2021	М56	50	Поставка	100	70
1655	01.06.2021	М56	55	Поставка	300	51
1656	01.06.2021	М56	55	Продажа	378	50
1663	01.06.2021	М57	5	Поставка	20	32
1685	01.06.2021	М57	50	Продажа	6	85
1688	01.06.2021	М57	55	Поставка	30	47
1690	01.06.2021	М58	5	Поставка	100	41
1722	01.06.2021	М58	50	Продажа	25	126
1724	01.06.2021	М58	55	Продажа	87	42
1734	01.06.2021	М59	5	Поставка	500	33
1764	01.06.2021	М60	5	Продажа	404	36
1788	01.06.2021	М60	50	Продажа	85	79
1821	01.06.2021	М61	55	Продажа	175	58
1904	01.06.2021	М64	55	Поставка	20	42
1965	01.06.2021	М66	50	Поставка	20	99
1968	01.06.2021	М66	55	Продажа	75	57
2001	01.06.2021	М68	5	Поставка	100	33
2019	01.06.2021	М68	55	Продажа	76	46
2076	01.06.2021	М70	55	Продажа	87	61
2101	01.06.2021	М71	50	Поставка	10	68
2102	01.06.2021	М71	55	Поставка	50	44
2110	01.06.2021	М72	5	Поставка	200	32
2130	01.06.2021	М72	50	Продажа	53	97
2133	01.06.2021	М72	55	Поставка	200	46
2139	01.06.2021	М73	5	Продажа	245	50
2162	01.06.2021	М73	55	Поставка	200	39
2187	01.06.2021	М74	55	Поставка	100	52
2188	01.06.2021	М74	55	Продажа	81	41
2216	01.06.2021	М75	50	Продажа	23	119
2227	01.06.2021	М76	5	Продажа	182	54
2244	01.06.2021	М76	50	Поставка	50	74
2245	01.06.2021	М76	50	Продажа	40	126
2247	01.06.2021	М76	55	Поставка	200	37
2248	01.06.2021	М76	55	Продажа	168	64
2276	01.06.2021	М77	55	Продажа	42	44
2303	01.06.2021	М78	50	Продажа	85	98
2317	01.06.2021	М79	5	Продажа	26	43
2341	01.06.2021	М79	50	Продажа	6	118
2342	01.06.2021	М79	55	Поставка	20	35
