38	74	35	72	80	70	99	30	48	4	6	90	83	23	92	26	93	5	58	98
26	24	69	30	41	50	42	59	9	79	46	54	40	35	6	16	65	5	93	93
30	13	89	42	2	33	45	44	45	9	56	97	60	57	13	88	27	86	90	39
73	74	27	67	70	67	68	6	36	92	49	8	58	58	94	68	64	33	56	30
18	47	46	67	10	93	78	19	62	63	76	53	66	14	48	40	73	36	72	75
89	34	73	67	25	50	87	25	84	91	13	64	93	96	82	32	94	3	71	34
27	62	3	65	21	98	8	5	14	91	88	80	12	88	77	40	18	67	42	75
59	85	19	14	75	38	91	71	94	46	13	90	21	86	10	13	9	69	94	53
39	90	77	3	32	28	80	76	90	77	25	13	77	69	22	9	65	82	45	39
39	71	26	59	28	22	11	36	61	60	59	7	81	67	29	60	88	48	18	31
8	21	49	73	26	24	69	80	73	7	54	79	63	33	25	58	58	48	93	99
62	38	67	23	48	69	14	86	29	66	39	83	19	17	22	62	42	67	20	12
79	59	10	45	63	73	32	51	73	50	37	48	16	5	28	60	24	14	23	16
78	52	34	93	58	97	99	43	2	83	89	23	71	16	82	19	62	15	51	57
33	64	59	30	11	55	10	25	71	97	7	3	60	74	78	10	43	22	86	23
64	79	91	64	87	39	59	31	66	24	69	23	88	11	15	54	97	83	36	73
40	95	3	45	82	15	28	2	11	99	33	9	22	44	90	69	26	40	27	92
18	38	12	16	9	71	39	25	77	98	65	78	28	28	27	77	82	15	45	58
57	51	66	68	12	27	70	59	9	82	86	52	59	51	35	53	22	23	88	57
88	24	37	81	80	21	35	72	22	31	72	99	96	64	54	73	49	87	12	38
